web-scraper-order,web-scraper-start-url,paging,paging-href,links,links-href,title,price,priceWas,Rating,Rating_Count,discount
"1666980336-174","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Generic Anti-Skid
Yoga Mat …EGP 375.00","https://www.noon.com/egypt-en/anti-skid-yoga-mat/N16543438A/p/?o=e4b848e96dee4c0b","Anti-Skid Yoga Mat","EGP 375.00 (Inclusive of VAT)","null","null","null","null"
"1666980343-175","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Generic Yoga Gym
Swiss Ball 75centim……EGP 239.00 4.7152","https://www.noon.com/egypt-en/yoga-gym-swiss-ball-75centimeter/N16620092A/p/?o=ada1f59949b70caf","Yoga Gym Swiss Ball 75centimeter","EGP 239.00 (Inclusive of VAT)","null","4.7","152 Ratings","null"
"1666980349-176","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Generic Yoga Ball
25centimeter …EGP 59.90","https://www.noon.com/egypt-en/yoga-ball-25centimeter/N36591417A/p/?o=d43d7ff6bda33ddf","Yoga Ball 25centimeter","EGP 59.90 (Inclusive of VAT)","null","null","null","null"
"1666980354-177","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Generic Yoga Mat - 6
mm …EGP 375.00","https://www.noon.com/egypt-en/yoga-mat-6-mm/N16543616A/p/?o=d87fa4eb191bd6ff","Yoga Mat - 6 mm","EGP 375.00 (Inclusive of VAT)","null","null","null","null"
"1666980362-178","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","SportQ Belly Exercise
Wheel With Knee Mat …EGP 150.00","https://www.noon.com/egypt-en/belly-exercise-wheel-with-knee-mat/N52752692A/p/?o=a45a3a7fc434e44e","Belly Exercise Wheel With Knee Mat","EGP 150.00 (Inclusive of VAT)","null","null","null","null"
"1666980367-179","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Generic Anti-Burst
Yoga Swiss Ball 25c……EGP 59.90 5.01","https://www.noon.com/egypt-en/anti-burst-yoga-swiss-ball-25centimeter/N31126834A/p/?o=b1502ca71a0cf2aa","Anti-Burst Yoga Swiss Ball 25centimeter","EGP 59.90 (Inclusive of VAT)","null","5.0","1 Rating","null"
"1666980373-180","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","SUNEX Weak Muscle
Support Waist Belt …EGP 169.00","https://www.noon.com/egypt-en/weak-muscle-support-waist-belt/N44713782A/p/?o=a8dbf39acd92a2ac","Weak Muscle Support Waist Belt","EGP 169.00 (Inclusive of VAT)","null","null","null","null"
"1666980379-181","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Spall Exercise Yoga
Mat 6mm Thick 90*1……EGP 219.00","https://www.noon.com/egypt-en/exercise-yoga-mat-6mm-thick-90-190-6cm/N44711450A/p/?o=e6fde94e5c3e04eb","Exercise Yoga Mat 6mm Thick 90*190*6cm","EGP 219.00 (Inclusive of VAT)","null","null","null","null"
"1666980385-182","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Emfil Exercise Yoga
Ball - 65cm 65centi……EGP 199.00 5.01","https://www.noon.com/egypt-en/exercise-yoga-ball-65cm-65centimeter/N32927461A/p/?o=d6e8bfd05d4f12be","Exercise Yoga Ball - 65cm 65centimeter","EGP 199.00 (Inclusive of VAT)","null","5.0","1 Rating","null"
"1666980391-183","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Generic Yoga Pilates
Mats 10mm …EGP 319.00","https://www.noon.com/egypt-en/yoga-pilates-mats-10mm/N44861406A/p/?o=b0e11c822f7d8b4e","Yoga Pilates Mats 10mm","EGP 319.00 (Inclusive of VAT)","null","null","null","null"
"1666980395-184","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Generic High Density
Exercise Yoga Mat …EGP 319.00 4.490","https://www.noon.com/egypt-en/high-density-exercise-yoga-mat/N22815456A/p/?o=fabfdf3cfba5e76f","High Density Exercise Yoga Mat","EGP 319.00 (Inclusive of VAT)","null","4.4","90 Ratings","null"
"1666980402-185","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Spurt Yoga Mat With 
Carrying Bag 175X61……EGP 259.00","https://www.noon.com/egypt-en/yoga-mat-with-carrying-bag-175x61cm/N46040247A/p/?o=ac08fd85e487591f","Yoga Mat With  Carrying Bag 175X61cm","EGP 259.00 (Inclusive of VAT)","null","null","null","null"
